,year,year,year,year,year,year,year,year,temp_yoy_change,temp_yoy_change,temp_yoy_change,temp_yoy_change,temp_yoy_change,temp_yoy_change,temp_yoy_change,temp_yoy_change,temp_cumulative_change,temp_cumulative_change,temp_cumulative_change,temp_cumulative_change,temp_cumulative_change,temp_cumulative_change,temp_cumulative_change,temp_cumulative_change,bws_raw,bws_raw,bws_raw,bws_raw,bws_raw,bws_raw,bws_raw,bws_raw,drr_raw,drr_raw,drr_raw,drr_raw,drr_raw,drr_raw,drr_raw,drr_raw
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
location_type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City,1932.0,2016.0,6.056868423614958,2006.0,2011.0,2016.0,2021.0,2026.0,1840.0,-0.1531576086956522,1.2002599759833341,-7.880000000000001,-0.5600000000000009,-0.04999999999999982,0.5,2.7299999999999995,1932.0,-0.22737060041407867,1.099146517595098,-7.440000000000001,-0.6425000000000001,-0.0249999999999988,0.41000000000000014,3.2300000000000004,1932.0,0.41110723827483825,0.6228111750363565,0.003367283564431,0.07494788231506423,0.1689635970511883,0.5267965487591368,3.498304470635781,1932.0,0.4762596177255775,0.1431292950721438,0.0553591003184209,0.37430608018191747,0.48856323576703,0.572684513376133,0.75
DataCenter,7203.0,2016.0,6.055721083821732,2006.0,2011.0,2016.0,2021.0,2026.0,7016.0,-0.07415193842645382,0.8457379418539315,-7.880000000000001,-0.10999999999999943,0.0,0.0,2.55,7203.0,-0.07088296543107075,1.0505855460144904,-7.540000000000001,-0.41999999999999993,0.030000000000001137,0.5299999999999994,3.369999999999999,7182.0,0.4182301209482092,0.5592025678716699,0.003367283564431,0.1166650729070929,0.3002598458738517,0.547501462421355,3.498304470635781,7182.0,0.48268913331857305,0.11107345029137786,0.0553591003184209,0.4132536077971179,0.46342349323371,0.5414705967812761,0.75
